Date,Population_MI,Population_US,Rank,Highlights
1990,9311319,249622814,,
1991,9400446,252980941,,
1992,9479065,256514224,,
1993,9540114,259918588,,
1994,9597737,263125821,,
1995,9676211,266278393,,
1996,9758645,269394284,,
1997,9809051,272646925,,
1998,9847942,275854104,,
1999,9897116,279040168,,
2000,9952450,282162411,,
2001,9991120,284968955,,
2002,10015710,287625193,,
2003,10041152,290107933,,
2004,10055315,292805298,,
2005,10051137,295516599,,
2006,10036081,298379912,,
2007,10001284,301231207,,
2008,9946889,304093966,,
2009,9901591,306771529,,
2010,9877535,309326085,,
2011,9881521,311580009,,
2012,9896930,313874218,,
2013,9913349,316057727,,
2014,9930589,318386421,,
2015,9932573,320742673,10,
2016,9951890,323071342,10,
2017,9976447,325147121,10,Michigan's population grew in 2017 to 9.962 million.  Michigan's overall population ranked 10th nationally in 2017.
2018,9995915,327167434,10,Michigan's population grew in 2018 to 9.995 million.  Michigan's overall population ranked 10th nationally in 2018.
